"authors","year","title","booktitle","host_organisation","location","keywords","base_url","path"
"Khalid Aljohani and Russell G. Thompson","2017","Evaluation of Freight Carriers’ Potential Participation in City Logistics Solutions – An Exploratory Study in Jeddah, Saudi Arabia","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," freight logistics car","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_013.pdf"
"Alexa Delbosc and Rahman Shafi and Dinith Wanninayake and Joseph Mascaro","2017","Understanding safety and driver behaviour impacts of mini-roundabouts on local roads","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety travel behaviour","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_015.pdf"
"Kenneth Ng and Nirajan Shiwakoti and Peter Stasinopoulos","2017","A learning pathway towards zero fatalities","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_016.pdf"
"Rahman Shafi and Alexa Delbosc and Geoffrey Rose","2017","Do South Asian migrants in Australia travel differently to native-born Australians?","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_017.pdf"
"David Gargett","2017","Costs of the Australian Road System","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_018.pdf"
"Diana Kusumastuti and Alan Nicholson","2017","Mixed-use development factors and how they influence decisions to purchase residential properties in Christchurch, New Zealand","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_019.pdf"
"Mehdi Bagherian and Ahmad Tavassoli and Mark Hickman","2017","Considering the Impact of Precipitation on the Accuracy of Delay-Function Parameters","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_020.pdf"
"Robyn Hyde and Dave Smith","2017","Assessing the value of public transport as a network","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_021.pdf"
"Dave Smith and Dale Harris","2017","The role of real-time crowdsourced information and technology in supporting traveller information","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_022.pdf"
"Eric Ye and Mohsen Ramezani","2017","Lane Distribution Optimisation of Autonomous Vehicles for Highway Congestion Control (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," CAV","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_23.pdf"
"Mohsen Ramezani and Joao Aguiar Machado and Alexander Skabardonis and Nikolas Geroliminis","2017","Capacity and Delay Analysis of Arterials with Mixed Autonomous and Human-Driven Vehicles","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_024.pdf"
"A review of airworthiness assurance within international dry operating leases","2017","Yalan Yang and Nicholas Bardell","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_025.pdf"
"Suh-Wen Chiou","2017","A robust signal setting for urban road network with hazard materials transportation (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_26.pdf"
"Sivanandan Balakrishnan and Sara Moridpour and Richard Tay","2017","The Influence of Neighbourhood Socio-Demographic Characteristics on Injury Severity in Heavy Vehicle Crashes","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_027.pdf"
"S.M. Sohel Mahmud and Luis Ferreira and Dr. Md. Shamsul Hoque and Ahmad Tavassoli Hojati. Analysis of Speed Behaviour of Drivers on a Rural Highway in a Developing Country","2017","Analysis of Speed Behaviour of Drivers on a Rural Highway in a Developing Country (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_29.pdf"
"Hitomi Nakanishi and Amelia Dillon and Paul Tranter","2017","Getting more children walking and cycling to school: insights from parents in three Australian cities","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," cycling walking active transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_030.pdf"
"Don Wignall","2017","Economic Re-evaluation of New Zealand Transport Investments","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," funding","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_031.pdf"
"Frank Lehmann and Parthasarathi Roop and Prakash Ranjitkar","2017","Car-Following Behaviour: Statistical Analysis of Differences Between Drivers (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_32.pdf"
"Amy Killen and Selby Coxon and Robbie Napper","2017","A Review of the Literature on Mitigation Strategies for Vandalism in Rail Environments","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," environment","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_033.pdf"
"Baojin Wang and Pietro Crovato","2017","Comparing travel costs of wheelchair and other passengers in Sydney Train network","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_035.pdf"
"Sarah Roberts and Robbie Napper and Selby Coxon","2017","Issues and design factors concerning outer Melbourne bus vehicle design: a literature review","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_036.pdf"
"Surya Prakash and Anjeela Jokhan","2017","Monte Carlo for selecting risk response strategies","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," car","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_037.pdf"
"Joel Docker and Marilyn Johnson","2017","Safe roads for cyclists: an investigation of Australian and Dutch approaches (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_39.pdf"
"Kai Huang and Kun An","2017","Modelling the dynamic one-way car sharing system","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," modelling car","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_040.pdf"
"Soumik Nafis Sadeek and Md Mosabbir Pasha and Shakil Mohammad Rifaat and Sk. Redwan Ferdous and Iktier Ahmed Farhad","2017","Analysis of Speed Variations at Different Distances from a Road Crossing Facility","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_041.pdf"
"Duy Nguyen-Phuoc and Graham Currie and Chris De Gruyter and William Young","2017","Estimating the net traffic congestion impact associated with urban public transport – A Melbourne, Australia Case Study (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_42.pdf"
"Jun Park and Joshua Bamford and Hayley Byun and Subeh Chowdhury","2017","Journey by Visually Impaired Public Transport Users: Barriers and Consequences (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_43.pdf"
"James Reynolds and Graham Currie and Geoff Rose and Alistair Cumming","2017","Moving beyond techno-rationalism: new models of transit priority implementation","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_044.pdf"
"James Tidswell and Andrea Raith","2017","Modelling Traffic Assignment Objectives with Emission Cost Functions","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," modelling","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_045.pdf"
"Murray King","2017","Differential Safety Liability of Road and Rail","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_046.pdf"
"Nirajan Shiwakoti and Richard Tay and Peter Stasinopoulos","2017","Exploring Jaywalking at Intersections","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," walking active transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_047.pdf"
"Bob Grün and Andrea Raith","2017","Integrated mode choice and traffic assignment,approach for petrol-based and electric vehicles (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_48.pdf"
"Saman Lawer and Ruili Wang and Ming-Zhe Liu","2017","Review of Bio-inspired computations on optimisation of traffic signals","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_049.pdf"
"Mark Morando and Long Truong and Hai Vu","2017","Investigating safety impacts of autonomous vehicles using traffic micro-simulation (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," simulation CAV safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_50.pdf"
"Hesara Weliwitiya and Geoff Rose and Marilyn Johnson","2017","Factors influencing commuters' bicycle parking choices at suburban railway stations (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_51.pdf"
"Tayebeh Saghapour and Sara Moridpour and Russell George Thompson","2017","Accessibility Measures versus Land use Measures in Active Transport Modelling","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," modelling active transport land use","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_052.pdf"
"Amir Falamarzi and Sara Moridpour and Majidreza Nazem and Reihannah Hesami","2017","Rail degradation predication: Melbourne tram system case study","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," tram public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_053.pdf"
"Sareh Bahrololoom and William Young and David Logan","2017","A random parameter model of factors influencing bicycle fatal and serious injury crashes in Victoria, Australia","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_054.pdf"
"Tamara Djukic and David Masip and Martijn Breen and Jordi Casas Vilaro","2017","Modified bi-level optimization framework for dynamic OD demand estimation in the congested networks","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_055.pdf"
"Prudence Blake and Graham Currie and Alexa Delbosc and Chris Lowe","2017","Customer Churn: The Missing Link in Public Transport Marketing","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_056.pdf"
"Mehmet Yildirimoglu and Osman Kahraman","2017","How Far is Traffic from User Equilibrium?","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_057.pdf"
"Sadaf Aminmansour and Carlo Prato and Simon Washington and Zuduo Zheng. Investigating Household Level Trip Occupancy: a Case Study of Future Car Sharing and Autonomous Vehicle Adopters in Australia","2017","","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_058.pdf"
"Samuel R Hislop-Lynch and Sanghyung Ahn and Jiwon Kim","2017","Pedestrian Tracking Framework Utilising Computer Vision for Rapid Analysis of Public Spaces","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_059.pdf"
"Sajida Perveen and Md Kamruzzaman and Tan Yigitcanlar","2017","Transport impact indicators for monitoring the sustainability of urban growth: Findings from a Delphi study (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_60.pdf"
"Sunhyung Yoo and Brian Lee and Hyun Kim","2017","Impact of the Spatial and Temporal Variation in Passenger Service Rate on Train Dwell Time","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_061.pdf"
"Alireza Toran Pour and Sara Moridpour and Richard Tay and Abbas Rajabifard","2017","Using crash severity to identify safe walking distance in vicinity of schools","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," walking active transport safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_062.pdf"
"Wathsala Ranasinghe and Jonathan Bunker and Ashish Bhaskar","2017","Saturation Headway Variation at a Signalised Intersection Approaches with a Downstream Bus Stop and Bicycle Lane","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_063.pdf"
"Baojin Wang and Craig Gorlick and Jonathan Taylor and Scott Elaurant","2017","Economic benefits of Smart Motorway applications","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_064.pdf"
"Edward Robson and Kasun Wijayaratna and Vinayak Dixit","2017","From CBA to CGE: A Review of Computable General Equilibrium Modelling for Transport Appraisal","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," modelling","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_065.pdf"
"Don Wignall and Ian Wallis","2017","Auckland Northern Busway Retrospective: Updated Review of Impacts","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_066.pdf"
"Vivienne Ivory and Maggie Trotter","2017","Resilience, freight mobility and governance: mapping the actors in New Zealand’s transport network","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," freight","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_069.pdf"
"Simon Stebbins and Mark Hickman and Jiwon Kim and Hai Vu","2017","Balancing computational requirements with performance in model predictive traffic control","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_070.pdf"
"Mujaddad Afzal and Prakash Ranjitkar and Seosamh Costello and Nirojan Jayananthan and Sithika Jayasinghe","2017","Emergency Evacuation Modelling using Traffic Simulation: A Case Study of Auckland","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," modelling simulation","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_071.pdf"
"Lily Hirsch and Hamish W. Mackie and Eddie Cook","2017","It’s a sign! Developing a warning system for New Zealand’s pedestrian level crossings","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_072.pdf"
"Laura McCarthy and Alexa Delbosc and Graham Currie and Andrew Molloy","2017","Is car orientation among families with children on the wane? Evidence from Melbourne, Australia (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," car","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_73.pdf"
"Md. Mahmud Hasan and Jiwon Kim and Carlo Prato","2017","Spatial variable selection methods for network-wide short term traffic prediction","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_074.pdf"
"Saeid Adli and Stuart Donovan","2017","Measuring accessibility as the main benefit of public transportation systems, studies from Auckland, Brisbane, Perth, and Vancouver","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_075.pdf"
"Hasitha Dilshani Gamage and Brian Lee","2017","Reinforcement Learning based Driving Speed Control for Two Vehicle Scenario","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_076.pdf"
"Ebrahim Sangsefidi and Douglas J Wilson and Thomas J Larkin and Philippa M Black. Weatherability of Road Aggregates within Engineering Time","2017","","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_077.pdf"
"Yulia Dewita and Barbara Yen and Matthew Burke","2017","Beyond the cost/income ratio: new approaches to measuring transport affordability in three Indonesian metropolitan regions (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_79.pdf"
"Jason Chia and Jinwoo Brian Lee","2017","An Exploratory Methodology to Incorporate Transfer Location in Transit Spatial Coverage Quantification","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_080.pdf"
"Krishna Behara and Ashish Bhaskar and Edward Chung","2017","Insights into geographical window based SSIM for comparison of OD matrices (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_81.pdf"
"Nowar Abdalmajeed and Matthew Burke","2017","Pedestrian Levels-of-Service tools: problems of conception, factor identification, measurement and usefulness","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_082.pdf"
"Hamish Mackie and Lily Hirsch and Richard Scott and Simon Douglas and Dylan Thomsen","2017","A Safe System analysis of serious injury and fatal crashes","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_083.pdf"
"Brandon Peij and Sanduni Kossinna and Jason Chia and Brian Lee","2017","Route Choice Behavior by Time of Day and User Familiarity","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_084.pdf"
"Faria Imam and Ashish Bhaskar and Edward Chung","2017","Integrating Bluetooth and smart card data for better estimation and prediction of bus speed on arterial corridors with low frequency of bus speeds","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," car bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_086.pdf"
"Hugo Nicholls and Geoff Rose and Marilyn Johnson and Rachel Carlisle","2017","Cyclists and Left Turning Drivers: A Study of Infrastructure, Behaviour and Road Rules at Intersections","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," travel behaviour","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_087.pdf"
"Sanghyung Ahn and Daniel Hutchison and Lewis Jones and Rupsha Kundu and Wai Nam Lam","2017","Evaluating the Impact of Improvement of Wayfinding at a Train Station: Agent-based Simulation Study","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," simulation","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_088.pdf"
"Guangxing Wang and Jiwon Kim","2017","A Large Scale Neural Network Model for Crash Prediction in Urban Road Networks","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_089.pdf"
"Amir Falamarzi and Samira Cheraghi and Ali Mahmoudian","2017","Using a fuzzy group TOPSIS model for prioritising and selecting traffic calming measures in residential streets","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_090.pdf"
"Yuchao Sun and Gary McCarney and Soheil Sabri and Sam Amirebrahimi and Muyiwa Agunbiade and Yiqun Chen and Azadeh Keshtiarast and Mohsen Kalantari and Callan Bright and Doina Olaru and Mark Reynolds and Abbas Rajabifard and Sharon Biermann","2017","A flexible accessibility analysis tool for enhanced urban analytics (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_91.pdf"
"Solmaz Jahed Shiran and John Hearne and Elizabeth Taylor","2017","Interactions between residential relocation and commute patterns in Melbourne","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_092.pdf"
"Scott Elaurant and Baojin Wang and Graham Currie","2017","Exploring systemic bias in Australasian urban road/rail investment","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," funding","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_093.pdf"
"Md Mosabbir Pasha and Mark Hickman","2017","Airport Employees Ground Accessibility: Review and Assessment","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_094.pdf"
"Roy Zhu and Sanghyung Ahn and Michelle Robertson and Linda Lin and Summer Legambi and Zachary Zweig","2017","Trend Analysis of Ferry Travel Patterns For Sustainable Transport Planning in Brisbane, Queensland, Australia","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," planning","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_095.pdf"
"Kelly Bertolaccini and Svitlana Pyrohova and Peter English and Mark Hickman and Neil Sipe","2017","Evaluating the LUPTAI Accessibility Model: A Case Study of a Proposed Green Bridge in Brisbane","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_096.pdf"
"Sima Vaez and Matthew Burke and Tooran Alizadeh","2017","Objective and Subjective Measures of Urban Network: Relationship with Urban Form and Ferry, Bus and Railway Patronage in Brisbane CBD (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_97.pdf"
"Lucienne Burnham and Bec Arnold and Ying Huang and Mariana Aitkens and Brett Smith and Fiona McKenzie","2017","Evaluation of the Wheatbelt Aged-Friendly Community Bus Trial","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_098.pdf"
"Nima Amini and Lauren Gardner and Travis Waller","2017","Development of the foundation for a Supplementary Ramp Metering Algorithm to Address Negative Impacts of Ramp Metering","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_099.pdf"
